,Non-Fraud,Fraud,accuracy,macro avg,weighted avg
precision,0.9996765619946281,0.7802197802197802,0.9993960843796522,0.8899481711072041,0.9993868378648727
recall,0.9997187376947742,0.7553191489361702,0.9993960843796522,0.8775189433154722,0.9993960843796522
f1-score,0.9996976493998693,0.7675675675675676,0.9993960843796522,0.8836326084837185,0.9993911941360812
support,71108.0,94.0,0.9993960843796522,71202.0,71202.0
