,Non-Fraud,Fraud,accuracy,macro avg,weighted avg
precision,0.9997874089401627,0.12267080745341614,0.9918541613999606,0.5612291081967894,0.9986294504482698
recall,0.9920543398773697,0.8404255319148937,0.9918541613999606,0.9162399358961317,0.9918541613999606
f1-score,0.9959058630864145,0.2140921409214092,0.9918541613999606,0.6049990020039119,0.994873722277399
support,71108.0,94.0,0.9918541613999606,71202.0,71202.0
