,Non-Fraud,Fraud,accuracy,macro avg,weighted avg
precision,0.999690646268069,0.8372093023255814,0.9994943962248252,0.9184499742968253,0.999476140406849
recall,0.9998031163863419,0.7659574468085106,0.9994943962248252,0.8828802815974263,0.9994943962248252
f1-score,0.999746878164023,0.8,0.9994943962248252,0.8998734390820116,0.9994831748053054
support,71108.0,94.0,0.9994943962248252,71202.0,71202.0
