,Non-Fraud,Fraud,accuracy,macro avg,weighted avg
precision,0.9996485308589906,0.9583333333333334,0.9996067526193084,0.9789909320961621,0.9995939870460722
recall,0.9999578106542161,0.7340425531914894,0.9996067526193084,0.8670001819228528,0.9996067526193084
f1-score,0.9998031468383977,0.8313253012048193,0.9996067526193084,0.9155642240216084,0.9995807244697906
support,71108.0,94.0,0.9996067526193084,71202.0,71202.0
